Set,P1_A,P1_B,P1_C,P2_A,P2_B,P2_C,P3_A,P3_B,P3_C
1,7.48,7.52,2.37,7.18,4.88,4.75,5.42,4.54,6.86
2,7.49,7.53,2.36,7.18,4.88,4.75,5.42,4.55,6.85
3,7.49,7.53,2.36,7.17,4.88,4.75,5.41,4.56,6.85
4,7.49,7.53,2.36,7.17,4.88,4.75,5.41,4.56,6.84
5,7.48,7.52,2.36,7.18,4.88,4.75,5.41,4.55,6.85
6,7.48,7.52,2.36,7.17,4.88,4.74,5.41,4.56,6.84
7,7.48,7.51,2.36,7.17,4.87,4.75,5.41,4.55,6.84
8,7.48,7.51,2.36,7.17,4.86,4.75,5.41,4.55,6.84
9,7.48,7.5,2.36,7.17,4.86,4.75,5.41,4.55,6.84
10,7.48,7.5,2.36,7.17,4.86,4.75,5.4,4.55,6.84
11,7.48,7.5,2.36,7.17,4.85,4.75,5.4,4.55,6.84
12,7.48,7.49,2.36,7.17,4.85,4.75,5.4,4.55,6.84
13,7.48,7.49,2.36,7.17,4.85,4.75,5.41,4.54,6.84
14,7.48,7.5,2.36,7.17,4.86,4.74,5.4,4.55,6.83
15,7.48,7.49,2.36,7.17,4.85,4.75,5.4,4.56,6.83
16,7.48,7.5,2.36,7.17,4.85,4.74,5.4,4.55,6.83
17,7.48,7.49,2.36,7.18,4.85,4.75,5.4,4.55,6.83
18,7.48,7.49,2.36,7.17,4.85,4.74,5.4,4.55,6.83
19,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.55,6.83
20,7.48,7.49,2.36,7.17,4.84,4.75,5.4,4.55,6.83
21,7.48,7.49,2.37,7.17,4.84,4.74,5.39,4.56,6.82
22,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.56,6.82
23,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.56,6.82
24,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.56,6.82
25,7.48,7.48,2.36,7.17,4.84,4.75,5.39,4.56,6.82
26,7.48,7.48,2.37,7.17,4.84,4.74,5.39,4.57,6.81
27,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.56,6.82
28,7.48,7.49,2.36,7.17,4.84,4.74,5.39,4.56,6.82
29,7.48,7.48,2.36,7.17,4.84,4.74,5.4,4.56,6.82
30,7.48,7.48,2.36,7.17,4.84,4.74,5.39,4.57,6.81
